index,x,y,@@@777@@@,ASUS,Amg,DAISA,DAISA5GHZ,DIRECT-iR-BRAVIA,GYORFI,GYORFI-5GHz,HUAWEI P10,Murciline,TEK megfigyelő,TEK megfigyelő 2.4,Telekom-59EB57,Telekom-8luQUU,Telekom-AmfxAb,Telekom-Bo7KON,Telekom-CEGmQQ,Telekom-CEGmQQ 5GHz,Telekom-Eh4auM,Telekom-Lm8gPs,Telekom-PObcOU,Telekom-RD1x97,Telekom-T3OVsw,Telekom-XvgoOb,Telekom-ctbd3G,Telekom-hW7KSb,Telekom-iU1HVB,Telekom-tREcpF,UPC0016705,UPC0492771,UPC0908851,UPC1584560,UPC1794824,UPC2058306,UPC3736069,UPC3956209,UPC4587269,UPC4592126,UPC4701690,UPC64471C2,UPC6455441,UPC6669582,UPC7817040,UPC7EDEA9C,UPC8369359,UPC8783675,UPC8C5183A,UPC9034261,UPC9471254,UPC9519730,UPC99A3E9F,UPCC4549BC,UPCEAF15EF,UPCFFE85FC,Vodafone-14D8,Vodafone-25ED,Vodafone-7726,Vodafone-8142,Vodafone-8161,Vodafone-8A74,Vodafone-DDCD,otto,szilvi
0,48,19,177.0,,,,,,185.0,,,,,169.0,174.0,169.0,167.0,,178.0,177.0,,,,,,,192.0,,210,,186.0,,,,,,,173.0,,,,,,,,185.0,,,,,,,,,,,176.0,,,167.0,185.0,,200,,189.0
1,41,82,183.0,,,,,,186.0,175.0,,,,,,171.0,171.0,,182.0,173.0,,172.0,,,,,,,190,,197.0,174.0,,,,,,,,,,,166.0,,,199.0,,,,,,,,,,184.0,,,,,177.0,,197,,181.0
2,41,141,,,,,,,,,,,,,178.0,166.0,173.0,,190.0,176.0,,,,,,,,,218,,204.0,,173.0,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,185.0,,191,,190.0
3,40,205,,,,179.0,168.0,,,,,,,,,184.0,,,,173.0,,,,,,,,,201,,194.0,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,174.0,,190.0,,198,,179.0
4,40,303,,,,178.0,,,,,,,,172.0,,184.0,171.0,,181.0,179.0,,,,,,,,,210,,196.0,,,,,,,177.0,,,,,,,,192.0,,,,,,,,,,,,,,,183.0,,208,,198.0
5,37,407,169.0,,,183.0,166.0,192.0,,,,,,,,186.0,,,,172.0,,,,,,,,,205,,201.0,,,,,,,,,,,,,,172.0,189.0,,,,,,,,,,,,165.0,,,184.0,,202,,171.0
6,33,508,,,,,,190.0,,185.0,,,,,,,,,,178.0,,171.0,,,,,,,207,,197.0,,,,,,,,,,,,,,175.0,191.0,,,,,,,,,,,,,,169.0,189.0,,197,,199.0
7,38,629,,,,,171.0,184.0,,,,,,,,179.0,,,182.0,174.0,,179.0,,,,,165.0,,209,,191.0,,,,,,,,,,,,,,174.0,195.0,,,,,,,,,,168.0,,,,,178.0,,204,,178.0
8,38,728,,,,,163.0,193.0,,174.0,,,,,,192.0,165.0,,,173.0,,182.0,,,,,,,203,,190.0,,,,,,,,,,,,,,179.0,198.0,,,,,,,,,,185.0,,,,,188.0,,194,,196.0
9,40,866,,,,171.0,,201.0,,,,,,,167.0,186.0,168.0,,190.0,179.0,,180.0,,,,,183.0,,215,,186.0,,,,,,,,,,,,,,177.0,206.0,,,,,,,,,,175.0,,,,,183.0,,187,176.0,
