index,x,y,@@@777@@@,ASUS,Amg,DAISA,DAISA5GHZ,DIRECT-iR-BRAVIA,GYORFI,GYORFI-5GHz,HUAWEI P10,Murciline,TEK megfigyelő,TEK megfigyelő 2.4,Telekom-59EB57,Telekom-8luQUU,Telekom-AmfxAb,Telekom-Bo7KON,Telekom-CEGmQQ,Telekom-CEGmQQ 5GHz,Telekom-Eh4auM,Telekom-Lm8gPs,Telekom-PObcOU,Telekom-RD1x97,Telekom-T3OVsw,Telekom-XvgoOb,Telekom-ctbd3G,Telekom-hW7KSb,Telekom-iU1HVB,Telekom-tREcpF,UPC0016705,UPC0492771,UPC0908851,UPC1584560,UPC1794824,UPC2058306,UPC3736069,UPC3956209,UPC4587269,UPC4592126,UPC4701690,UPC64471C2,UPC6455441,UPC6669582,UPC7817040,UPC7EDEA9C,UPC8369359,UPC8783675,UPC8C5183A,UPC9034261,UPC9471254,UPC9519730,UPC99A3E9F,UPCC4549BC,UPCEAF15EF,UPCFFE85FC,Vodafone-14D8,Vodafone-25ED,Vodafone-7726,Vodafone-8142,Vodafone-8161,Vodafone-8A74,Vodafone-DDCD,otto,szilvi
0,0.19445628997867803,0.08798029556650246,177.0,,,,,,185.0,,,,,169.0,174.0,169.0,167.0,,178.0,177.0,,,,,,,192.0,,210,,186.0,,,,,,,173.0,,,,,,,,185.0,,,,,,,,,,,176.0,,,167.0,185.0,,200,,189.0
1,0.16609808102345414,0.37970443349753696,183.0,,,,,,186.0,175.0,,,,,,171.0,171.0,,182.0,173.0,,172.0,,,,,,,190,,197.0,174.0,,,,,,,,,,,166.0,,,199.0,,,,,,,,,,184.0,,,,,177.0,,197,,181.0
2,0.16609808102345414,0.6529064039408867,,,,,,,,,,,,,178.0,166.0,173.0,,190.0,176.0,,,,,,,,,218,,204.0,,173.0,,,,,,,,,,,,,201.0,,,,,,,,,,,,,,,185.0,,191,,190.0
3,0.162046908315565,0.9492610837438423,,,,179.0,168.0,,,,,,,,,184.0,,,,173.0,,,,,,,,,201,,194.0,,,,,,,,,,,,,,,198.0,,,,,,,,,,,,,174.0,,190.0,,198,,179.0
4,0.162046908315565,1.4030541871921183,,,,178.0,,,,,,,,172.0,,184.0,171.0,,181.0,179.0,,,,,,,,,210,,196.0,,,,,,,177.0,,,,,,,,192.0,,,,,,,,,,,,,,,183.0,,208,,198.0
5,0.14989339019189765,1.8846305418719211,169.0,,,183.0,166.0,192.0,,,,,,,,186.0,,,,172.0,,,,,,,,,205,,201.0,,,,,,,,,,,,,,172.0,189.0,,,,,,,,,,,,165.0,,,184.0,,202,,171.0
6,0.13368869936034114,2.3523152709359607,,,,,,190.0,,185.0,,,,,,,,,,178.0,,171.0,,,,,,,207,,197.0,,,,,,,,,,,,,,175.0,191.0,,,,,,,,,,,,,,169.0,189.0,,197,,199.0
7,0.15394456289978675,2.9126108374384234,,,,,171.0,184.0,,,,,,,,179.0,,,182.0,174.0,,179.0,,,,,165.0,,209,,191.0,,,,,,,,,,,,,,174.0,195.0,,,,,,,,,,168.0,,,,,178.0,,204,,178.0
8,0.15394456289978675,3.3710344827586205,,,,,163.0,193.0,,174.0,,,,,,192.0,165.0,,,173.0,,182.0,,,,,,,203,,190.0,,,,,,,,,,,,,,179.0,198.0,,,,,,,,,,185.0,,,,,188.0,,194,,196.0
9,0.162046908315565,4.0100492610837435,,,,171.0,,201.0,,,,,,,167.0,186.0,168.0,,190.0,179.0,,180.0,,,,,183.0,,215,,186.0,,,,,,,,,,,,,,177.0,206.0,,,,,,,,,,175.0,,,,,183.0,,187,176.0,
10,0.13368869936034114,4.440689655172414,,,,169.0,168.0,196.0,,175.0,,,,,,,,,193.0,174.0,,180.0,,,,,,,194,,189.0,,,,,,,,,,,,,,184.0,196.0,,,,,,,,,,174.0,,,,,199.0,,195,,185.0
11,0.5550106609808102,4.436059113300493,,,,,,,,,,,,,167.0,181.0,,,181.0,182.0,,,,,,,,,213,,201.0,,,,,,,,,,,,,,173.0,199.0,,,,,,,,,,170.0,,,175.0,,184.0,,205,,176.0
12,0.5469083155650319,3.968374384236453,,,,,,196.0,180.0,,,,,,,,,,190.0,184.0,,175.0,,,,,170.0,,212,,194.0,,,,,,,,,,,,,,,202.0,,,,,,,167.0,,,,,,,,190.0,169.0,191,,174.0
13,0.5469083155650319,3.3756650246305417,,,,178.0,,200.0,,179.0,,,,,173.0,180.0,,,184.0,182.0,,,,,,,168.0,,214,,199.0,,173.0,,,,,180.0,,,,,,,175.0,199.0,,,,,,,,,,,,,,,191.0,,196,,
14,0.5631130063965885,2.9589162561576354,,,,170.0,,,177.0,,,,,,,185.0,,,185.0,179.0,,183.0,,,,,182.0,,201,,200.0,,,,,,,,,,,,,,175.0,207.0,,,,,,,,,,169.0,,,,,195.0,,204,,182.0
15,0.5833688699360341,2.4588177339901476,,,,172.0,163.0,194.0,178.0,,,,,,169.0,173.0,,,,173.0,,,,,,,,,206,,192.0,,181.0,,,,,,,,,,,,170.0,198.0,,,,,,,,,,170.0,,,179.0,,186.0,,204,,192.0
16,0.579317697228145,2.750541871921182,,,,,,199.0,,176.0,,,,,,176.0,169.0,,192.0,173.0,,,,,,,,,206,,203.0,,171.0,,,,,,,,,,,,170.0,202.0,,,,,,,,,,,,,,,177.0,,208,,175.0
17,0.129637526652452,2.694975369458128,,,,,167.0,195.0,,,,,,,,180.0,173.0,,,175.0,,,,,,,190.0,,212,,193.0,,,,,,,183.0,,,,,,,173.0,196.0,,,,,,177.0,,,,177.0,,,,,181.0,,196,,178.0
18,0.5712153518123667,1.9216748768472907,,,,,,,,,,,,,178.0,187.0,,,,173.0,,,,,,,,,208,,199.0,,,,,,,,,,,,,,180.0,203.0,,,,,,,,,,,,177.0,,,191.0,,209,,175.0
19,0.5914712153518124,1.5095566502463054,,,,,,,,,,,,,,184.0,,,180.0,176.0,,173.0,,,,,,,216,,194.0,,,,,,,169.0,,,,,,,179.0,194.0,,,,,,,,,,,,,,,186.0,,197,,182.0
20,0.5995735607675906,0.8242364532019705,,,,168.0,,189.0,178.0,,,,,,176.0,186.0,,,,174.0,,,171.0,,,,175.0,,216,,194.0,,,,,,,177.0,,,,,,,,200.0,,,,,,,,,,,,,,,179.0,,215,,173.0
21,0.5631130063965885,1.1066995073891626,,,,,,,,,,,,,,,166.0,,,,,,,,,,182.0,,207,,201.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,176.0,,184.0,,206,,186.0
22,0.5914712153518124,0.41211822660098524,,,,,,,,,,,,,172.0,181.0,,,181.0,176.0,,,,,,,167.0,,216,,191.0,170.0,,,,,,169.0,,,,,,,,196.0,,,,,,,,,,,,,,,184.0,,210,,184.0
23,0.5955223880597015,0.11113300492610838,,,,172.0,,,184.0,,,,,,,189.0,,,,173.0,,171.0,,,,,183.0,,195,,195.0,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,,,176.0,178.0,,218,,191.0
24,1.1424307036247334,0.07408866995073891,,,,,,,,,,,,,,187.0,,,,170.0,,,,,,,166.0,,213,,192.0,,171.0,,,,,,,,,,,,,198.0,,,,,,,,,,,,,,166.0,180.0,,214,,
25,1.1221748400852878,0.3935960591133005,,,,,,187.0,,170.0,,,,,171.0,182.0,,,,172.0,,,,,,,,,211,,204.0,,,,,,,,,,,,,,176.0,188.0,,,,,,,,,,,,,178.0,170.0,186.0,,216,,
26,1.1059701492537313,0.736256157635468,,,,172.0,166.0,192.0,181.0,,,,,,177.0,,,,177.0,174.0,,,178.0,,,,,,201,,187.0,,,,,,,,,,,,,,,191.0,,,,,,,,,,173.0,,,,,179.0,,212,,190.0
27,1.1100213219616204,1.1298522167487686,,,,168.0,166.0,192.0,177.0,,,,,,,,,,,176.0,,,166.0,,,,169.0,,202,,184.0,,,,,,,,,,,,,,,200.0,,,,,,,,,,,,,,,185.0,,213,,
28,1.1100213219616204,1.625320197044335,,,,171.0,,,174.0,,,,,,,186.0,,,187.0,171.0,,,171.0,,,,,,213,,202.0,,,,,,,,,,,,,,,201.0,,,,,,,,,,175.0,,,,,181.0,,207,,185.0
29,1.1019189765458421,2.1207881773399015,,,,170.0,,,,,,,,,165.0,189.0,166.0,,,171.0,,,,,,,,,207,,193.0,,,,,,,,,,,,,,177.0,193.0,,,,,,,,,,166.0,,,,,186.0,,204,,179.0
30,1.0897654584221748,2.722758620689655,,,,172.0,,189.0,,182.0,,,,,,176.0,,,183.0,175.0,,177.0,,,,,181.0,,208,,200.0,,,,,,,,,,,,,,,189.0,,,,,,,,,,,,,,,186.0,168.0,202,,185.0
31,1.06545842217484,3.2876847290640394,,,,,166.0,189.0,,179.0,,,,,,,,,184.0,175.0,,,,,,,,,206,,201.0,,,,,,,,,,,,,,176.0,197.0,,,,,,,,,,,,,,,191.0,,207,,178.0
32,1.033049040511727,3.834088669950739,,,,,,197.0,177.0,,,,,,,186.0,,,184.0,180.0,,,,,,,,,212,,200.0,,,,,,,,,,,,,,182.0,199.0,,,,,,,,,,,,,,,186.0,,197,,192.0
33,0.9803837953091683,4.209162561576354,166.0,,167.0,,,,,,,,,,,184.0,,,186.0,,,170.0,173.0,166.0,,,168.0,,209,,205.0,,169.0,,,,,,,,,,,,,205.0,,,163.0,,,,,,,,,,,,187.0,,191,,183.0
