,x,y,variable,value
0,48,19,@@@777@@@,177.0
1,41,82,@@@777@@@,183.0
2,41,141,@@@777@@@,
3,40,205,@@@777@@@,
4,40,303,@@@777@@@,
5,37,407,@@@777@@@,169.0
6,33,508,@@@777@@@,
7,38,629,@@@777@@@,
8,38,728,@@@777@@@,
9,40,866,@@@777@@@,
10,33,959,@@@777@@@,
11,137,958,@@@777@@@,
12,135,857,@@@777@@@,
13,135,729,@@@777@@@,
14,139,639,@@@777@@@,
15,144,531,@@@777@@@,
16,143,594,@@@777@@@,
17,32,582,@@@777@@@,
18,141,415,@@@777@@@,
19,146,326,@@@777@@@,
20,148,178,@@@777@@@,
21,139,239,@@@777@@@,
22,146,89,@@@777@@@,
23,147,24,@@@777@@@,
24,282,16,@@@777@@@,
25,277,85,@@@777@@@,
26,273,159,@@@777@@@,
27,274,244,@@@777@@@,
28,274,351,@@@777@@@,
29,272,458,@@@777@@@,
30,269,588,@@@777@@@,
31,263,710,@@@777@@@,
32,255,828,@@@777@@@,
33,242,909,@@@777@@@,166.0
34,231,965,@@@777@@@,
35,357,957,@@@777@@@,
36,360,903,@@@777@@@,
37,360,819,@@@777@@@,
38,369,704,@@@777@@@,
39,367,605,@@@777@@@,
40,370,502,@@@777@@@,
41,389,394,@@@777@@@,
42,394,249,@@@777@@@,
43,391,153,@@@777@@@,
44,389,71,@@@777@@@,
45,391,12,@@@777@@@,
46,514,13,@@@777@@@,
47,502,67,@@@777@@@,166.0
48,507,150,@@@777@@@,
49,504,251,@@@777@@@,
50,504,377,@@@777@@@,
51,499,496,@@@777@@@,
52,490,601,@@@777@@@,
53,486,704,@@@777@@@,
54,477,821,@@@777@@@,
55,476,893,@@@777@@@,
56,475,962,@@@777@@@,
57,589,961,@@@777@@@,
58,589,880,@@@777@@@,
59,589,788,@@@777@@@,
60,588,687,@@@777@@@,
61,588,574,@@@777@@@,
62,595,490,@@@777@@@,168.0
63,588,377,@@@777@@@,
64,592,255,@@@777@@@,
65,611,147,@@@777@@@,
66,602,59,@@@777@@@,
67,599,7,@@@777@@@,169.0
68,716,13,@@@777@@@,
69,713,79,@@@777@@@,
70,708,163,@@@777@@@,166.0
71,710,257,@@@777@@@,
72,702,375,@@@777@@@,
73,698,480,@@@777@@@,
74,694,574,@@@777@@@,
75,695,675,@@@777@@@,
76,692,779,@@@777@@@,
77,685,885,@@@777@@@,
78,676,961,@@@777@@@,
79,811,958,@@@777@@@,
80,808,877,@@@777@@@,
81,810,793,@@@777@@@,
82,812,670,@@@777@@@,
83,808,561,@@@777@@@,
84,965,558,@@@777@@@,
85,1089,567,@@@777@@@,
86,809,465,@@@777@@@,
87,808,349,@@@777@@@,
88,820,255,@@@777@@@,173.0
89,827,144,@@@777@@@,
90,826,74,@@@777@@@,172.0
91,824,13,@@@777@@@,
92,964,18,@@@777@@@,
93,971,85,@@@777@@@,
94,966,151,@@@777@@@,172.0
95,969,251,@@@777@@@,
96,970,360,@@@777@@@,
97,973,459,@@@777@@@,
98,1094,21,@@@777@@@,
99,1094,92,@@@777@@@,170.0
100,1095,158,@@@777@@@,
101,1090,256,@@@777@@@,
102,1088,357,@@@777@@@,
103,1084,448,@@@777@@@,
104,1218,451,@@@777@@@,
105,1334,449,@@@777@@@,
106,1459,444,@@@777@@@,
107,1566,445,@@@777@@@,
108,1677,444,@@@777@@@,
109,1771,439,@@@777@@@,
110,1765,525,@@@777@@@,
111,1672,518,@@@777@@@,
112,1568,537,@@@777@@@,
113,1448,537,@@@777@@@,
114,1325,533,@@@777@@@,
115,1212,529,@@@777@@@,
116,1148,611,@@@777@@@,
117,1213,609,@@@777@@@,
118,1329,616,@@@777@@@,
119,1444,612,@@@777@@@,
120,1570,614,@@@777@@@,
121,1145,676,@@@777@@@,
122,1209,678,@@@777@@@,
123,1324,694,@@@777@@@,
124,1440,685,@@@777@@@,
125,1574,690,@@@777@@@,
126,1668,609,@@@777@@@,
127,1759,607,@@@777@@@,
128,1657,697,@@@777@@@,
129,1755,689,@@@777@@@,
130,1149,785,@@@777@@@,
131,1214,778,@@@777@@@,
132,1330,783,@@@777@@@,
133,1443,769,@@@777@@@,
134,1582,797,@@@777@@@,
135,1670,804,@@@777@@@,
136,1766,803,@@@777@@@,
137,1146,872,@@@777@@@,
138,1147,953,@@@777@@@,
139,1210,873,@@@777@@@,
140,1330,874,@@@777@@@,
141,1435,875,@@@777@@@,
142,1579,888,@@@777@@@,
143,1671,891,@@@777@@@,
144,1767,893,@@@777@@@,
145,1770,962,@@@777@@@,
146,1677,961,@@@777@@@,
147,1579,966,@@@777@@@,
148,1434,957,@@@777@@@,
