,x_m,y_m,variable,value
0,0.19445628997867803,0.08798029556650246,@@@777@@@,177.0
1,0.16609808102345414,0.37970443349753696,@@@777@@@,183.0
2,0.16609808102345414,0.6529064039408867,@@@777@@@,
3,0.162046908315565,0.9492610837438423,@@@777@@@,
4,0.162046908315565,1.4030541871921183,@@@777@@@,
5,0.14989339019189765,1.8846305418719211,@@@777@@@,169.0
6,0.13368869936034114,2.3523152709359607,@@@777@@@,
7,0.15394456289978675,2.9126108374384234,@@@777@@@,
8,0.15394456289978675,3.3710344827586205,@@@777@@@,
9,0.162046908315565,4.0100492610837435,@@@777@@@,
10,0.13368869936034114,4.440689655172414,@@@777@@@,
11,0.5550106609808102,4.436059113300493,@@@777@@@,
12,0.5469083155650319,3.968374384236453,@@@777@@@,
13,0.5469083155650319,3.3756650246305417,@@@777@@@,
14,0.5631130063965885,2.9589162561576354,@@@777@@@,
15,0.5833688699360341,2.4588177339901476,@@@777@@@,
16,0.579317697228145,2.750541871921182,@@@777@@@,
17,0.129637526652452,2.694975369458128,@@@777@@@,
18,0.5712153518123667,1.9216748768472907,@@@777@@@,
19,0.5914712153518124,1.5095566502463054,@@@777@@@,
20,0.5995735607675906,0.8242364532019705,@@@777@@@,
21,0.5631130063965885,1.1066995073891626,@@@777@@@,
22,0.5914712153518124,0.41211822660098524,@@@777@@@,
23,0.5955223880597015,0.11113300492610838,@@@777@@@,
24,1.1424307036247334,0.07408866995073891,@@@777@@@,
25,1.1221748400852878,0.3935960591133005,@@@777@@@,
26,1.1059701492537313,0.736256157635468,@@@777@@@,
27,1.1100213219616204,1.1298522167487686,@@@777@@@,
28,1.1100213219616204,1.625320197044335,@@@777@@@,
29,1.1019189765458421,2.1207881773399015,@@@777@@@,
30,1.0897654584221748,2.722758620689655,@@@777@@@,
31,1.06545842217484,3.2876847290640394,@@@777@@@,
32,1.033049040511727,3.834088669950739,@@@777@@@,
33,0.9803837953091683,4.209162561576354,@@@777@@@,166.0
34,0.935820895522388,4.468472906403941,@@@777@@@,
35,1.4462686567164178,4.4314285714285715,@@@777@@@,
36,1.4584221748400852,4.181379310344828,@@@777@@@,
37,1.4584221748400852,3.792413793103448,@@@777@@@,
38,1.4948827292110873,3.2599014778325124,@@@777@@@,
39,1.486780383795309,2.8014778325123153,@@@777@@@,
40,1.4989339019189765,2.3245320197044337,@@@777@@@,
41,1.5759061833688697,1.8244334975369458,@@@777@@@,
42,1.5961620469083153,1.1530049261083744,@@@777@@@,
43,1.584008528784648,0.7084729064039409,@@@777@@@,
44,1.5759061833688697,0.32876847290640393,@@@777@@@,
45,1.584008528784648,0.05556650246305419,@@@777@@@,
46,2.0823027718550104,0.06019704433497537,@@@777@@@,
47,2.033688699360341,0.3102463054187192,@@@777@@@,166.0
48,2.0539445628997868,0.6945812807881774,@@@777@@@,
49,2.041791044776119,1.1622660098522168,@@@777@@@,
50,2.041791044776119,1.7457142857142858,@@@777@@@,
51,2.0215351812366738,2.296748768472906,@@@777@@@,
52,1.9850746268656714,2.7829556650246303,@@@777@@@,
53,1.9688699360341149,3.2599014778325124,@@@777@@@,
54,1.9324093816631127,3.8016748768472906,@@@777@@@,
55,1.9283582089552236,4.135073891625615,@@@777@@@,
56,1.9243070362473347,4.454581280788178,@@@777@@@,
57,2.386140724946695,4.4499507389162565,@@@777@@@,
58,2.386140724946695,4.07487684729064,@@@777@@@,
59,2.386140724946695,3.6488669950738917,@@@777@@@,
60,2.382089552238806,3.181182266009852,@@@777@@@,
61,2.382089552238806,2.6579310344827585,@@@777@@@,
62,2.4104477611940296,2.268965517241379,@@@777@@@,168.0
63,2.382089552238806,1.7457142857142858,@@@777@@@,
64,2.3982942430703624,1.1807881773399014,@@@777@@@,
65,2.4752665245202556,0.6806896551724138,@@@777@@@,
66,2.4388059701492537,0.27320197044334976,@@@777@@@,
67,2.426652452025586,0.032413793103448274,@@@777@@@,169.0
68,2.900639658848614,0.06019704433497537,@@@777@@@,
69,2.8884861407249462,0.3658128078817734,@@@777@@@,
70,2.868230277185501,0.7547783251231527,@@@777@@@,166.0
71,2.876332622601279,1.1900492610837439,@@@777@@@,
72,2.843923240938166,1.7364532019704433,@@@777@@@,
